acl 2.2.53-2
xfce4-appfinder 4.14.0-1
xfce4-battery-plugin 1.1.3-1
xfce4-panel 4.14.3-1
xfce4-power-manager 1.6.5-2
xfce4-session 4.14.1-1
xfce4-settings 4.14.2-1
xfce4-taskmanager 1.2.2-1
xfce4-terminal 0.8.9.1-1
xfconf 4.14.1-1
xfdesktop 4.14.2-1
xfsdump 3.1.8-6
xfsprogs 4.19.0-1
xfwm4 4.14.0-1
xfwm4-themes 4.10.0-3
xkbsel 0.13-9
xkeyboard-config 2.28-1
xl2tpd 1.3.15-1
xorg-bdftopcf 1.1-1
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.7-1
xorg-server-common 1.20.7-1
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
xorgproto 2019.2-2
xplc 0.3.13-8
xz 5.2.4-2
yubico-c 1.13-5
yubico-c-client 2.15-4
yubikey-manager 3.1.0-2
yubikey-manager-qt 1.1.3-1
yubikey-personalization 1.20.0-1
yubikey-personalization-gui 3.1.25-2
zerofree 1.1.1-1
zeromq 4.3.2-1
zile 2.4.14-1
zip 3.0-8
zlib 1:1.2.11-4
zsh 5.7.1-1
zstd 1.4.4-1
